Time	Node	Type	Packets	
10	167	CacheHits	0
10	167	CacheMisses	0
10	168	CacheHits	0
10	168	CacheMisses	0
10	169	CacheHits	0
10	169	CacheMisses	0
10	170	CacheHits	0
10	170	CacheMisses	0
10	171	CacheHits	0
10	171	CacheMisses	0
10	172	CacheHits	0
10	172	CacheMisses	0
10	173	CacheHits	0
10	173	CacheMisses	0
10	174	CacheHits	0
10	174	CacheMisses	0
10	175	CacheHits	0
10	175	CacheMisses	0
10	176	CacheHits	0
10	176	CacheMisses	0
10	177	CacheHits	0
10	177	CacheMisses	0
10	178	CacheHits	0
10	178	CacheMisses	0
10	179	CacheHits	0
10	179	CacheMisses	0
10	180	CacheHits	105
10	180	CacheMisses	331
10	181	CacheHits	419
10	181	CacheMisses	587
10	182	CacheHits	369
10	182	CacheMisses	781
10	183	CacheHits	0
10	183	CacheMisses	0
10	184	CacheHits	90
10	184	CacheMisses	304
10	185	CacheHits	0
10	185	CacheMisses	0
10	186	CacheHits	313
10	186	CacheMisses	915
10	187	CacheHits	350
10	187	CacheMisses	692
10	188	CacheHits	34
10	188	CacheMisses	194
10	189	CacheHits	61
10	189	CacheMisses	223
10	190	CacheHits	72
10	190	CacheMisses	278
10	191	CacheHits	90
10	191	CacheMisses	340
10	192	CacheHits	109
10	192	CacheMisses	411
10	193	CacheHits	351
10	193	CacheMisses	503
10	194	CacheHits	0
10	194	CacheMisses	0
10	195	CacheHits	0
10	195	CacheMisses	0
10	196	CacheHits	0
10	196	CacheMisses	0
10	197	CacheHits	0
10	197	CacheMisses	0
10	198	CacheHits	0
10	198	CacheMisses	0
10	199	CacheHits	0
10	199	CacheMisses	0
10	200	CacheHits	110
10	200	CacheMisses	421
10	201	CacheHits	17
10	201	CacheMisses	161
10	202	CacheHits	156
10	202	CacheMisses	363
10	203	CacheHits	0
10	203	CacheMisses	0
10	204	CacheHits	128
10	204	CacheMisses	384
10	205	CacheHits	10
10	205	CacheMisses	221
10	206	CacheHits	204
10	206	CacheMisses	639
10	207	CacheHits	126
10	207	CacheMisses	376
10	208	CacheHits	16
10	208	CacheMisses	127
10	209	CacheHits	5
10	209	CacheMisses	131
10	210	CacheHits	11
10	210	CacheMisses	131
10	211	CacheHits	7
10	211	CacheMisses	133
10	212	CacheHits	24
10	212	CacheMisses	135
10	213	CacheHits	34
10	213	CacheMisses	148
10	214	CacheHits	35
10	214	CacheMisses	168
10	215	CacheHits	42
10	215	CacheMisses	185
10	216	CacheHits	59
10	216	CacheMisses	220
10	217	CacheHits	83
10	217	CacheMisses	264
10	218	CacheHits	95
10	218	CacheMisses	342
10	219	CacheHits	376
10	219	CacheMisses	426
10	220	CacheHits	330
10	220	CacheMisses	525
10	221	CacheHits	27
10	221	CacheMisses	170
10	222	CacheHits	375
10	222	CacheMisses	507
10	223	CacheHits	0
10	223	CacheMisses	0
10	224	CacheHits	94
10	224	CacheMisses	333
10	225	CacheHits	27
10	225	CacheMisses	228
10	226	CacheHits	220
10	226	CacheMisses	533
10	227	CacheHits	131
10	227	CacheMisses	400
10	228	CacheHits	338
10	228	CacheMisses	512
10	229	CacheHits	0
10	229	CacheMisses	0
10	230	CacheHits	0
10	230	CacheMisses	0
10	231	CacheHits	0
10	231	CacheMisses	0
10	232	CacheHits	0
10	232	CacheMisses	0
10	233	CacheHits	0
10	233	CacheMisses	0
10	234	CacheHits	0
10	234	CacheMisses	0
10	235	CacheHits	0
10	235	CacheMisses	0
10	236	CacheHits	0
10	236	CacheMisses	0
10	237	CacheHits	0
10	237	CacheMisses	0
10	238	CacheHits	0
10	238	CacheMisses	0
10	239	CacheHits	0
10	239	CacheMisses	0
